Name                    Exam1     Exam2     Exam3     Avg       
-----------------------------------------------------------
Harry Marshall          94        61        88        81.00     
Robin Sims              78        60        60        66.00     
Robert Becker           65        85        76        75.33     
Anthony Huynh           86        91        76        84.33     
Denise Maldonado        67        85        75        75.67     
Andrew Ruiz             63        66        72        67.00     
Bethany Brown           86        85        71        80.67     
Sherri Jackson          92        72        73        79.00     
Heidi Johnson           83        95        86        88.00     
Ricardo Stokes          93        99        70        87.33     
Erin Hull               68        71        73        70.67     
Michael Robertson       100       67        81        82.67     
Brian Mcmahon           57        70        90        72.33     
Michael Torres          56        51        85        64.00     
Kathy Marshall          76        80        81        79.00     
Lauren Cummings         76        66        95        79.00     
Mary Clay               87        84        61        77.33     
Katie Medina            57        75        66        66.00     
Brooke Delgado          57        65        50        57.33     
Jennifer Jones          56        87        87        76.67     
Joe Jarvis              63        75        90        76.00     
Daniel Garza            77        98        99        91.33     
Nicholas Garza          71        91        71        77.67     
Christopher Ellison     73        52        82        69.00     
Melissa Stephens        84        82        79        81.67     
Michael Vega            73        66        90        76.33     
Jonathan Gregory        50        77        87        71.33     
Rodney Harmon           96        82        94        90.67     
Joan Ward               53        67        56        58.67     
Matthew Perez           67        82        71        73.33     
Sharon Ramos            68        70        100       79.33     
Ashley Martinez         82        59        94        78.33     
Matthew King            70        83        84        79.00     
Robert Burke            69        51        80        66.67     
Jerry Ford              66        95        79        80.00     
Allison Dyer            100       90        87        92.33     
Carla Rollins           100       80        98        92.67     
Jennifer Harris         82        80        82        81.33     
Steven Bush             77        50        56        61.00     
Robert James            64        97        85        82.00     
Danielle Martin         56        82        56        64.67     
Clifford Diaz           57        79        68        68.00     
Stephanie Washington    54        91        85        76.67     
John Brown              81        87        98        88.67     
Angel Levy              74        80        94        82.67     
Carlos Burton           51        90        85        75.33     
Susan Bush              79        83        88        83.33     
Amanda Nelson           76        86        97        86.33     
Denise Scott            97        58        93        82.67     
Keith Smith             98        68        72        79.33     
Kevin Barrera           79        84        98        87.00     
Bridget Cole            50        67        57        58.00     
Gary Morris             89        89        53        77.00     
Carla Blair             62        82        63        69.00     
Blake Manning           70        68        88        75.33     
Angela Mendez           91        64        85        80.00     
Robert Gross            75        61        99        78.33     
Natalie Arnold          100       67        54        73.67     
David Hancock           89        70        67        75.33     
Lisa Green              71        86        68        75.00     
Joshua Cox              95        81        62        79.33     
Brian Nelson            95        87        76        86.00     
Erin Ryan               67        62        51        60.00     
Charles Wright          81        97        96        91.33     
Richard Cole            94        88        52        78.00     
Andrew Waters           89        71        53        71.00     
Colton Johnson          86        86        95        89.00     
Jonathan Gilbert        61        61        86        69.33     
Stephanie Alexander     91        56        89        78.67     
Judith Foster           51        85        85        73.67     
Shane Cole              88        58        63        69.67     
Christopher Sparks      66        83        76        75.00     
Alison Williams         61        58        86        68.33     
David Miller            79        82        98        86.33     
Frank Cook              89        84        73        82.00     
Charles Kelly           97        92        93        94.00     
Nicole Watson           95        52        74        73.67     
Kristie Smith           80        78        62        73.33     
David Ortiz             56        57        99        70.67     
Bobby Richardson        80        55        67        67.33     
Wendy Solis             72        51        62        61.67     
Ashley Ray              63        76        78        72.33     
Victoria Black          50        86        90        75.33     
Alexis Jackson          84        75        51        70.00     
Danielle Blake          71        55        78        68.00     
Zachary Fox             93        89        89        90.33     
John Austin             77        94        75        82.00     
Kevin Ward              86        58        65        69.67     
Jesse Melton            86        97        57        80.00     
Rebecca Cohen           95        94        99        96.00     
Lisa Riley              95        96        71        87.33     
Tyler Brown             89        100       73        87.33     
Jerome Mckinney         64        52        68        61.33     
Debbie Campbell         61        89        92        80.67     
Nancy Patrick           77        70        84        77.00     
Julie Wagner            96        64        86        82.00     
Raymond Scott           81        93        57        77.00     
Robert Acosta           70        67        76        71.00     
Jessica English         64        60        67        63.67     
Cody West               76        100       89        88.33     
Hunter Green            59        66        84        69.67     
Jessica King            80        75        95        83.33     
Daniel Gallagher        79        73        66        72.67     
Brandon Johnson         70        98        67        78.33     
Jody Johnson            50        96        84        76.67     
Bobby Myers             71        98        84        84.33     
Elizabeth Perez         93        63        96        84.00     
Carol Scott             64        88        67        73.00     
Gabrielle Dougherty     62        76        82        73.33     
Diane Carpenter         54        74        77        68.33     
Kari Drake              62        52        52        55.33     
Jill Benson             93        59        91        81.00     
Daniel Wilson           79        83        56        72.67     
Michelle Lee            67        82        65        71.33     
William Moyer           52        91        92        78.33     
Kevin Morris            55        69        93        72.33     
Alison Woods            51        69        75        65.00     
Elizabeth Sparks        86        93        100       93.00     
David Bender            71        51        74        65.33     
Michelle King           78        92        99        89.67     
Earl Phelps             65        93        75        77.67     
Andrew Miller           93        77        70        80.00     
Mark Wilson             86        59        72        72.33     
Catherine Jones         79        97        56        77.33     
Marcus Harris           95        70        92        85.67     
Victoria Mann           54        82        78        71.33     
Dwayne Fox              73        73        51        65.67     
Shelley Jefferson       71        83        70        74.67     
Rachel Martinez         71        68        78        72.33     
Patrick Davis           91        65        73        76.33     
Patricia Randall        51        71        85        69.00     
Brent Espinoza          74        51        86        70.33     
Brian Hall              68        62        74        68.00     
Joseph Dunn             92        84        80        85.33     
Marcus Jackson          90        90        68        82.67     
Arthur Parsons          82        60        72        71.33     
Cameron Gonzalez        99        50        65        71.33     
Andrea Webb             89        62        51        67.33     
John Nguyen             79        90        71        80.00     
Rachel May              56        64        88        69.33     
Christopher Rogers      80        95        99        91.33     
Jerry Hendricks         96        58        61        71.67     
David Mcdonald          68        89        51        69.33     
Seth Matthews           59        56        87        67.33     
Sarah Norton            54        62        84        66.67     
Elijah Torres           61        70        94        75.00     
Bobby Patel             93        91        71        85.00     
Jason Leon              67        70        85        74.00     
Joy Pearson             67        68        79        71.33     
Danielle Dixon          69        67        62        66.00     
Martin James            66        75        93        78.00     
Stephanie Edwards       57        73        88        72.67     
Kimberly Roberts        83        56        75        71.33     
Lawrence Fernandez      81        83        97        87.00     
Erin Freeman            74        89        87        83.33     
Alicia Allen            64        63        71        66.00     
Nicole Smith            60        63        64        62.33     
Tiffany Yoder           62        87        95        81.33     
Jennifer Perez          62        88        93        81.00     
Gregory Stewart         68        61        90        73.00     
Alexander Curry         81        100       59        80.00     
Tammy Mckinney          64        97        73        78.00     
John Moore              99        52        53        68.00     
Joseph Gutierrez        51        51        72        58.00     
Daniel Hernandez        70        52        53        58.33     
Alexander Frazier       88        78        81        82.33     
Jennifer Thompson       80        53        88        73.67     
Christina Peterson      100       73        71        81.33     
Nathan Compton          91        75        66        77.33     
Michael Schroeder       94        99        61        84.67     
Angela Miles            58        60        58        58.67     
Jessica Thompson        100       91        100       97.00     
Kelly Cruz              87        94        88        89.67     
Kelly Vega              57        91        70        72.67     
John Sanchez            100       89        100       96.33     
Kristin Webster         80        65        79        74.67     
Kristina Bishop         80        53        90        74.33     
Troy Guzman             68        66        68        67.33     
Michelle Logan          92        61        64        72.33     
Christine Banks         84        100       65        83.00     
Jesse Miller            90        57        86        77.67     
Justin Whitehead        65        86        98        83.00     
David Valentine         87        99        71        85.67     
Ashley Kelly            80        66        76        74.00     
Matthew Gomez           61        97        56        71.33     
Holly Krause            76        83        90        83.00     
Paul Scott              58        52        69        59.67     
Heather Norman          85        90        53        76.00     
Elizabeth Stone         90        69        91        83.33     
Stephanie Farrell       88        89        55        77.33     
Michelle Ferguson       88        81        68        79.00     
Cheyenne Zhang          85        73        97        85.00     
Rachel Wilkerson        71        78        93        80.67     
Amy Bryant              91        53        77        73.67     
Rebecca Walters         71        56        89        72.00     
Laura Harris            61        61        83        68.33     
Ian Harrison            51        54        87        64.00     
Dwayne Palmer           88        91        78        85.67     
Amy Williams            76        60        85        73.67     
Justin Anderson         96        89        80        88.33     
Claudia Willis          62        88        77        75.67     
Kristina Callahan       77        60        80        72.33     
David Jackson           87        99        92        92.67     
Albert Jones            82        86        71        79.67     
Stacey Smith            83        54        56        64.33     
Stephen Ortega          76        59        72        69.00     
Marilyn Lee             54        56        52        54.00     
Raven Pace              82        99        98        93.00     
Crystal Mahoney         92        84        53        76.33     
Dale Wheeler            87        63        61        70.33     
Angela Olsen            58        60        64        60.67     
Jaime Cox               72        63        98        77.67     
Jacob Watkins           83        50        68        67.00     
Jessica Combs           76        67        89        77.33     
Sandra Wright           92        66        66        74.67     
Christopher Hart        80        96        67        81.00     
Laura Duran             71        99        76        82.00     
Brandon Brennan         50        65        69        61.33     
Brittany Peterson       72        94        87        84.33     
Emily Archer            57        72        70        66.33     
Jennifer Taylor         100       72        85        85.67     
Heather Baker           78        72        61        70.33     
Tina Bender             92        73        85        83.33     
Michael Bush            67        66        63        65.33     
Andrea Holder           80        69        56        68.33     
Alexandria Hansen       50        65        76        63.67     
Antonio Smith           63        52        62        59.00     
Brian Rios              51        68        74        64.33     
Jeffrey Sanders         95        76        68        79.67     
Jean Martin             57        100       53        70.00     
David Cook              52        95        51        66.00     
Ann Long                85        100       73        86.00     
Taylor Chavez           94        65        96        85.00     
Troy Gilbert            97        98        76        90.33     
Greg Oliver             59        77        96        77.33     
Melissa Coleman         73        73        83        76.33     
Jason Chapman           85        94        89        89.33     
Patricia Harmon         57        73        96        75.33     
Amy Rodriguez           62        65        51        59.33     
Jennifer Braun          66        88        76        76.67     
Lisa Jimenez            84        86        74        81.33     
Thomas Rodriguez        92        67        93        84.00     
Mitchell Hahn           77        64        66        69.00     
Jennifer Mccall         52        72        66        63.33     
Barry Wallace           64        92        64        73.33     
Raymond Lowery          91        63        57        70.33     
Carolyn Roth            84        99        61        81.33     
Samantha Walker         53        96        51        66.67     
Amanda Martinez         88        84        69        80.33     
Taylor Hudson           66        85        73        74.67     
Kevin Hoffman           55        72        72        66.33     
Krista Floyd            83        73        70        75.33     
Heather Watkins         59        82        57        66.00     
Shannon Cisneros        62        87        94        81.00     
Travis Crawford         60        53        51        54.67     
Kim Duncan              71        71        85        75.67     
Terry Montoya           93        76        50        73.00     
Shannon Haney           100       94        74        89.33     
Dylan Mendoza           91        55        74        73.33     
David Rojas             63        91        52        68.67     
Tristan Russo           95        72        80        82.33     
Miguel Clay             72        66        99        79.00     
Wayne Ibarra            94        72        97        87.67     
Mary Adams              58        91        62        70.33     
Corey Johns             93        91        91        91.67     
Diane Murphy            78        62        78        72.67     
Mary Barnes             76        51        50        59.00     
Jason Gutierrez         53        88        97        79.33     
Scott Smith             59        56        94        69.67     
Robert Bautista         57        60        79        65.33     
Robert Brown            62        64        52        59.33     
Abigail Castaneda       67        75        67        69.67     
Nicholas Hudson         66        80        54        66.67     
Eric Pena               87        73        83        81.00     
Bradley Stevens         82        66        60        69.33     
Maria Lewis             82        60        86        76.00     
Thomas Hayes            93        74        92        86.33     
Lisa Zuniga             72        64        88        74.67     
Arthur Bond             99        82        66        82.33     
Aaron Soto              91        60        81        77.33     
Kenneth Richardson      76        94        98        89.33     
Jeremy Stevenson        57        73        59        63.00     
James Black             89        95        94        92.67     
Paul Mcclure            72        87        77        78.67     
