firstname,lastname,exam1grade,exam2grade,exam3grade
Harry,Marshall,94,61,88
Robin,Sims,78,60,60
Robert,Becker,65,85,76
Anthony,Huynh,86,91,76
Denise,Maldonado,67,85,75
Andrew,Ruiz,63,66,72
Bethany,Brown,86,85,71
Sherri,Jackson,92,72,73
Heidi,Johnson,83,95,86
Ricardo,Stokes,93,99,70
Erin,Hull,68,71,73
Michael,Robertson,100,67,81
Brian,Mcmahon,57,70,90
Michael,Torres,56,51,85
Kathy,Marshall,76,80,81
Lauren,Cummings,76,66,95
Mary,Clay,87,84,61
Katie,Medina,57,75,66
Brooke,Delgado,57,65,50
Jennifer,Jones,56,87,87
Joe,Jarvis,63,75,90
Daniel,Garza,77,98,99
Nicholas,Garza,71,91,71
Christopher,Ellison,73,52,82
Melissa,Stephens,84,82,79
Michael,Vega,73,66,90
Jonathan,Gregory,50,77,87
Rodney,Harmon,96,82,94
Joan,Ward,53,67,56
Matthew,Perez,67,82,71
Sharon,Ramos,68,70,100
Ashley,Martinez,82,59,94
Matthew,King,70,83,84
Robert,Burke,69,51,80
Jerry,Ford,66,95,79
Allison,Dyer,100,90,87
Carla,Rollins,100,80,98
Jennifer,Harris,82,80,82
Steven,Bush,77,50,56
Robert,James,64,97,85
Danielle,Martin,56,82,56
Clifford,Diaz,57,79,68
Stephanie,Washington,54,91,85
John,Brown,81,87,98
Angel,Levy,74,80,94
Carlos,Burton,51,90,85
Susan,Bush,79,83,88
Amanda,Nelson,76,86,97
Denise,Scott,97,58,93
Keith,Smith,98,68,72
Kevin,Barrera,79,84,98
Bridget,Cole,50,67,57
Gary,Morris,89,89,53
Carla,Blair,62,82,63
Blake,Manning,70,68,88
Angela,Mendez,91,64,85
Robert,Gross,75,61,99
Natalie,Arnold,100,67,54
David,Hancock,89,70,67
Lisa,Green,71,86,68
Joshua,Cox,95,81,62
Brian,Nelson,95,87,76
Erin,Ryan,67,62,51
Charles,Wright,81,97,96
Richard,Cole,94,88,52
Andrew,Waters,89,71,53
